M,N,K,Tile Size,Execution Time
8192,8192,1024,1,11274.8
8192,8192,1024,4,291.306
8192,8192,1024,8,97.4792
8192,8192,1024,16,87.7724
8192,8192,1024,32,89.2887
8192,8192,8192,1,153730
8192,8192,8192,4,3798.8
8192,8192,8192,8,1506.35
8192,8192,8192,16,651.253
8192,8192,8192,32,730.944
8192,8192,16384,1,310299
8192,8192,16384,4,9547.55
8192,8192,16384,8,3530.82
8192,8192,16384,16,2076.44
8192,8192,16384,32,2277.49
8192,16384,1024,1,44918.3
8192,16384,1024,4,1527.86
8192,16384,1024,8,599.508
8192,16384,1024,16,182.114
8192,16384,1024,32,391.051
8192,16384,8192,1,361363
8192,16384,8192,4,9340.83
8192,16384,8192,8,4257.58
8192,16384,8192,16,2631.19
8192,16384,8192,32,3038.44
8192,16384,16384,1,647859
8192,16384,16384,4,18428.6
8192,16384,16384,8,7304.22
8192,16384,16384,16,3102.26
8192,16384,16384,32,4694.44
16384,8192,1024,1,43057.7
16384,8192,1024,4,1193.81
16384,8192,1024,8,213.634
16384,8192,1024,16,338.659
16384,8192,1024,32,194.172
16384,8192,8192,1,365014
16384,8192,8192,4,9095.68
16384,8192,8192,8,4055.55
16384,8192,8192,16,2780
16384,8192,8192,32,3069.15
16384,8192,16384,1,660769
16384,8192,16384,4,15589.5
16384,8192,16384,8,5081.89
16384,8192,16384,16,2591.58
16384,8192,16384,32,2921.39
16384,16384,1024,1,75984.6
16384,16384,1024,4,1753.51
16384,16384,1024,8,473.456
16384,16384,1024,16,381.329
16384,16384,1024,32,384.168
16384,16384,8192,1,610343
16384,16384,8192,4,15140.8
16384,16384,8192,8,6013.09
16384,16384,8192,16,2597.01
16384,16384,8192,32,2936.68
16384,16384,16384,1,1.22227
16384,16384,16384,4,31258.2
16384,16384,16384,8,10047.6
16384,16384,16384,16,5168.41
16384,16384,16384,32,5848.53
