M,N,K,Tile Size,Execution Time
512,512,512,8,6.56141
512,512,512,16,5.58422
512,512,512,32,5.75613
512,512,1024,8,6.12982
512,512,1024,16,6.5961
512,512,1024,32,6.05472
512,512,2048,8,6.90163
512,512,2048,16,6.5871
512,512,2048,32,6.07664
512,1024,512,8,5.94435
512,1024,512,16,5.97862
512,1024,512,32,5.79581
512,1024,1024,8,6.02608
512,1024,1024,16,6.03242
512,1024,1024,32,6.01562
512,1024,2048,8,6.93274
512,1024,2048,16,6.80704
512,1024,2048,32,7.14195
512,2048,512,8,6.83626
512,2048,512,16,6.21709
512,2048,512,32,6.08909
512,2048,1024,8,103.516
512,2048,1024,16,16.7901
512,2048,1024,32,7.09549
512,2048,2048,8,8.26045
512,2048,2048,16,9.17789
512,2048,2048,32,9.26899
1024,512,512,8,120.13
1024,512,512,16,40.0232
1024,512,512,32,6.79869
1024,512,1024,8,9.04192
1024,512,1024,16,9.15437
1024,512,1024,32,6.90298
1024,512,2048,8,21.3433
1024,512,2048,16,7.5257
1024,512,2048,32,8.41386
1024,1024,512,8,11.2181
1024,1024,512,16,131.751
1024,1024,512,32,76.7832
1024,1024,1024,8,34.8961
1024,1024,1024,16,81.029
1024,1024,1024,32,7.7416
1024,1024,2048,8,44.0693
1024,1024,2048,16,9.40723
1024,1024,2048,32,19.2246
1024,2048,512,8,7.75274
1024,2048,512,16,7.93514
1024,2048,512,32,6.87187
1024,2048,1024,8,9.32211
1024,2048,1024,16,84.5962
1024,2048,1024,32,98.1221
1024,2048,2048,8,19.0849
1024,2048,2048,16,14.8916
1024,2048,2048,32,11.7958
2048,512,512,8,8.27581
2048,512,512,16,58.549
2048,512,512,32,112.71
2048,512,1024,8,8.11507
2048,512,1024,16,47.4822
2048,512,1024,32,13.6852
2048,512,2048,8,15.123
2048,512,2048,16,8.73283
2048,512,2048,32,9.56624
2048,1024,512,8,7.39002
2048,1024,512,16,7.48947
2048,1024,512,32,7.67747
2048,1024,1024,8,126.831
2048,1024,1024,16,9.10954
2048,1024,1024,32,153.317
2048,1024,2048,8,258.753
2048,1024,2048,16,11.0864
2048,1024,2048,32,11.3215
2048,2048,512,8,114.906
2048,2048,512,16,138.488
2048,2048,512,32,197.549
2048,2048,1024,8,167.928
2048,2048,1024,16,183.835
2048,2048,1024,32,198.695
2048,2048,2048,8,212.317
2048,2048,2048,16,177.897
2048,2048,2048,32,205.512
