M,N,K,Tile Size,Average Power Usage (W)
8192,8192,1024,1,114.184
8192,8192,1024,4,67.481
8192,8192,1024,8,57.046
8192,8192,1024,16,53.018
8192,8192,1024,32,49.680
8192,8192,8192,1,101.580
8192,8192,8192,4,122.154
8192,8192,8192,8,98.346
8192,8192,8192,16,80.564
8192,8192,8192,32,67.152
8192,8192,16384,1,101.158
8192,8192,16384,4,131.704
8192,8192,16384,8,108.398
8192,8192,16384,16,95.582
8192,8192,16384,32,81.575
8192,16384,1024,1,104.864
8192,16384,1024,4,84.103
8192,16384,1024,8,64.198
8192,16384,1024,16,55.794
8192,16384,1024,32,54.736
8192,16384,8192,1,106.868
8192,16384,8192,4,131.362
8192,16384,8192,8,104.214
8192,16384,8192,16,87.617
8192,16384,8192,32,78.775
8192,16384,16384,1,101.984
8192,16384,16384,4,131.382
8192,16384,16384,8,116.058
8192,16384,16384,16,106.005
8192,16384,16384,32,87.752
16384,8192,1024,1,101.243
16384,8192,1024,4,77.019
16384,8192,1024,8,55.140
16384,8192,1024,16,54.603
16384,8192,1024,32,51.500
16384,8192,8192,1,97.957
16384,8192,8192,4,131.370
16384,8192,8192,8,106.958
16384,8192,8192,16,92.430
16384,8192,8192,32,80.029
16384,8192,16384,1,100.579
16384,8192,16384,4,135.714
16384,8192,16384,8,118.309
16384,8192,16384,16,98.677
16384,8192,16384,32,85.084
16384,16384,1024,1,104.796
16384,16384,1024,4,88.311
16384,16384,1024,8,63.205
16384,16384,1024,16,54.672
16384,16384,1024,32,52.008
16384,16384,8192,1,103.000
16384,16384,8192,4,136.391
16384,16384,8192,8,113.301
16384,16384,8192,16,99.800
16384,16384,8192,32,83.466
16384,16384,16384,1,103.533
16384,16384,16384,4,140.328
16384,16384,16384,8,128.706
16384,16384,16384,16,111.934
16384,16384,16384,32,90.489
