M,N,K,Tile Size,Execution Time
512,512,512,8,6.56141
512,512,512,16,5.58422
512,512,512,32,5.75613
512,512,1024,8,6.12982
512,512,1024,16,6.5961
512,512,1024,32,6.05472
512,512,2048,8,6.90163
512,512,2048,16,6.5871
512,512,2048,32,6.07664
512,1024,512,8,5.94435
512,1024,512,16,5.97862
512,1024,512,32,5.79581
512,1024,1024,8,6.02608
512,1024,1024,16,6.03242
512,1024,1024,32,6.01562
512,1024,2048,8,6.93274
512,1024,2048,16,6.80704
512,1024,2048,32,7.14195
512,2048,512,8,6.83626
512,2048,512,16,6.21709
512,2048,512,32,6.08909
512,2048,1024,8,5.82922
512,2048,1024,16,6.41155
512,2048,1024,32,7.09549
512,2048,2048,8,8.26045
512,2048,2048,16,9.17789
512,2048,2048,32,9.26899
1024,512,512,8,120.13
1024,512,512,16,40.0232
1024,512,512,32,6.79869
1024,512,1024,8,9.04192
1024,512,1024,16,9.15437
1024,512,1024,32,6.90298
1024,512,2048,8,21.3433
1024,512,2048,16,7.5257
1024,512,2048,32,8.41386
1024,1024,512,8,11.2181
1024,1024,512,16,131.751
1024,1024,512,32,76.7832
1024,1024,1024,8,34.8961
1024,1024,1024,16,81.029
1024,1024,1024,32,7.7416
1024,1024,2048,8,44.0693
1024,1024,2048,16,9.40723
1024,1024,2048,32,19.2246
1024,2048,512,8,7.75274
1024,2048,512,16,7.93514
1024,2048,512,32,6.87187
1024,2048,1024,8,9.32211
1024,2048,1024,16,84.5962
1024,2048,1024,32,98.1221
1024,2048,2048,8,19.0849
1024,2048,2048,16,14.8916
1024,2048,2048,32,11.7958
2048,512,512,8,8.27581
2048,512,512,16,58.549
2048,512,512,32,112.71
2048,512,1024,8,8.11507
2048,512,1024,16,47.4822
2048,512,1024,32,13.6852
2048,512,2048,8,15.123
2048,512,2048,16,8.73283
2048,512,2048,32,9.56624
2048,1024,512,8,7.39002
2048,1024,512,16,7.48947
2048,1024,512,32,7.67747
2048,1024,1024,8,8.53661
2048,1024,1024,16,9.10954
2048,1024,1024,32,8.58083
2048,1024,2048,8,11.2648
2048,1024,2048,16,11.0864
2048,1024,2048,32,11.3215
2048,2048,512,8,8.23462
2048,2048,512,16,7.37149
2048,2048,512,32,7.82192 
2048,2048,1024,8,11.0008 
2048,2048,1024,16,9.64253
2048,2048,1024,32,11.1143
2048,2048,2048,8,18.2609 
2048,2048,2048,16,15.9524
2048,2048,2048,32,17.4339
8192,8192,1024,1,11274.8
8192,8192,1024,4,291.306
8192,8192,1024,8,97.4792
8192,8192,1024,16,87.7724
8192,8192,1024,32,89.2887
8192,8192,8192,1,153730
8192,8192,8192,4,3798.8
8192,8192,8192,8,1506.35
8192,8192,8192,16,651.253
8192,8192,8192,32,730.944
8192,8192,16384,1,310299
8192,8192,16384,4,9547.55
8192,8192,16384,8,3530.82
8192,8192,16384,16,2076.44
8192,8192,16384,32,2277.49
8192,16384,1024,1,44918.3
8192,16384,1024,4,1527.86
8192,16384,1024,8,599.508
8192,16384,1024,16,182.114
8192,16384,1024,32,391.051
8192,16384,8192,1,361363
8192,16384,8192,4,9340.83
8192,16384,8192,8,4257.58
8192,16384,8192,16,2631.19
8192,16384,8192,32,3038.44
8192,16384,16384,1,647859
8192,16384,16384,4,18428.6
8192,16384,16384,8,7304.22
8192,16384,16384,16,3102.26
8192,16384,16384,32,4694.44
16384,8192,1024,1,43057.7
16384,8192,1024,4,1193.81
16384,8192,1024,8,213.634
16384,8192,1024,16,338.659
16384,8192,1024,32,194.172
16384,8192,8192,1,365014
16384,8192,8192,4,9095.68
16384,8192,8192,8,4055.55
16384,8192,8192,16,2780
16384,8192,8192,32,3069.15
16384,8192,16384,1,660769
16384,8192,16384,4,15589.5
16384,8192,16384,8,5081.89
16384,8192,16384,16,2591.58
16384,8192,16384,32,2921.39
16384,16384,1024,1,75984.6
16384,16384,1024,4,1753.51
16384,16384,1024,8,473.456
16384,16384,1024,16,381.329
16384,16384,1024,32,384.168
16384,16384,8192,1,610343
16384,16384,8192,4,15140.8
16384,16384,8192,8,6013.09
16384,16384,8192,16,2597.01
16384,16384,8192,32,2936.68
16384,16384,16384,1,1222268
16384,16384,16384,4,31258.2
16384,16384,16384,8,10047.6
16384,16384,16384,16,5168.41
16384,16384,16384,32,5848.53
