M,N,K,Tile Size,Average Power Usage (W)
512,512,512,1,32.038
512,512,512,4,32.407
512,512,512,8,32.157
512,512,512,16,33.268
512,512,512,32,33.331
512,512,1024,1,35.319
512,512,1024,4,34.347
512,512,1024,8,33.493
512,512,1024,16,33.561
512,512,1024,32,33.484
512,512,2048,1,42.954
512,512,2048,4,45.234
512,512,2048,8,33.846
512,512,2048,16,33.981
512,512,2048,32,33.902
512,1024,512,1,36.357
512,1024,512,4,34.913
512,1024,512,8,33.868
512,1024,512,16,33.934
512,1024,512,32,33.988
512,1024,1024,1,42.926
512,1024,1024,4,49.521
512,1024,1024,8,41.245
512,1024,1024,16,34.850
512,1024,1024,32,34.745
512,1024,2048,1,49.940
512,1024,2048,4,52.305
512,1024,2048,8,40.741
512,1024,2048,16,35.081
512,1024,2048,32,35.090
512,2048,512,1,44.691
512,2048,512,4,46.518
512,2048,512,8,38.693
512,2048,512,16,34.697
512,2048,512,32,34.829
512,2048,1024,1,50.180
512,2048,1024,4,51.371
512,2048,1024,8,41.732
512,2048,1024,16,35.314
512,2048,1024,32,35.189
512,2048,2048,1,62.919
512,2048,2048,4,51.219
512,2048,2048,8,36.741
512,2048,2048,16,35.677
512,2048,2048,32,35.425
1024,512,512,1,37.369
1024,512,512,4,37.040
1024,512,512,8,35.458
1024,512,512,16,35.338
1024,512,512,32,35.422
1024,512,1024,1,45.315
1024,512,1024,4,52.811
1024,512,1024,8,44.249
1024,512,1024,16,36.361
1024,512,1024,32,35.602
1024,512,2048,1,51.579
1024,512,2048,4,52.683
1024,512,2048,8,39.524
1024,512,2048,16,35.688
1024,512,2048,32,35.638
1024,1024,512,1,41.450
1024,1024,512,4,48.937
1024,1024,512,8,39.533
1024,1024,512,16,35.823
1024,1024,512,32,35.870
1024,1024,1024,1,51.646
1024,1024,1024,4,50.564
1024,1024,1024,8,37.978
1024,1024,1024,16,36.214
1024,1024,1024,32,35.993
1024,1024,2048,1,63.043
1024,1024,2048,4,61.060
1024,1024,2048,8,37.713
1024,1024,2048,16,36.426
1024,1024,2048,32,36.123
1024,2048,512,1,51.601
1024,2048,512,4,53.597
1024,2048,512,8,36.925
1024,2048,512,16,36.170
1024,2048,512,32,35.975
1024,2048,1024,1,64.670
1024,2048,1024,4,57.065
1024,2048,1024,8,37.267
1024,2048,1024,16,36.495
1024,2048,1024,32,36.406
1024,2048,2048,1,74.869
1024,2048,2048,4,60.918
1024,2048,2048,8,37.764
1024,2048,2048,16,36.737
1024,2048,2048,32,36.859
2048,512,512,1,43.115
2048,512,512,4,41.942
2048,512,512,8,36.395
2048,512,512,16,36.469
2048,512,512,32,36.549
2048,512,1024,1,52.135
2048,512,1024,4,55.095
2048,512,1024,8,42.534
2048,512,1024,16,36.752
2048,512,1024,32,36.921
2048,512,2048,1,64.669
2048,512,2048,4,63.728
2048,512,2048,8,42.324
2048,512,2048,16,37.306
2048,512,2048,32,37.240
2048,1024,512,1,54.898
2048,1024,512,4,51.641
2048,1024,512,8,37.752
2048,1024,512,16,37.106
2048,1024,512,32,37.132
2048,1024,1024,1,68.338
2048,1024,1024,4,66.359
2048,1024,1024,8,41.215
2048,1024,1024,16,37.895
2048,1024,1024,32,37.126
2048,1024,2048,1,80.664
2048,1024,2048,4,72.172
2048,1024,2048,8,44.811
2048,1024,2048,16,37.635
2048,1024,2048,32,37.415
2048,2048,512,1,64.219
2048,2048,512,4,55.315
2048,2048,512,8,36.838
2048,2048,512,16,36.113
2048,2048,512,32,35.962
2048,2048,1024,1,75.722
2048,2048,1024,4,66.619
2048,2048,1024,8,41.804
2048,2048,1024,16,36.250
2048,2048,1024,32,35.130
2048,2048,2048,1,92.256
2048,2048,2048,4,60.382
2048,2048,2048,8,36.779
2048,2048,2048,16,35.993
2048,2048,2048,32,35.558
8192,8192,1024,1,114.184
8192,8192,1024,4,67.481
8192,8192,1024,8,57.046
8192,8192,1024,16,53.018
8192,8192,1024,32,49.680
8192,8192,8192,1,101.580
8192,8192,8192,4,122.154
8192,8192,8192,8,98.346
8192,8192,8192,16,80.564
8192,8192,8192,32,67.152
8192,8192,16384,1,101.158
8192,8192,16384,4,131.704
8192,8192,16384,8,108.398
8192,8192,16384,16,95.582
8192,8192,16384,32,81.575
8192,16384,1024,1,104.864
8192,16384,1024,4,84.103
8192,16384,1024,8,64.198
8192,16384,1024,16,55.794
8192,16384,1024,32,54.736
8192,16384,8192,1,106.868
8192,16384,8192,4,131.362
8192,16384,8192,8,104.214
8192,16384,8192,16,87.617
8192,16384,8192,32,78.775
8192,16384,16384,1,101.984
8192,16384,16384,4,131.382
8192,16384,16384,8,116.058
8192,16384,16384,16,106.005
8192,16384,16384,32,87.752
16384,8192,1024,1,101.243
16384,8192,1024,4,77.019
16384,8192,1024,8,55.140
16384,8192,1024,16,54.603
16384,8192,1024,32,51.500
16384,8192,8192,1,97.957
16384,8192,8192,4,131.370
16384,8192,8192,8,106.958
16384,8192,8192,16,92.430
16384,8192,8192,32,80.029
16384,8192,16384,1,100.579
16384,8192,16384,4,135.714
16384,8192,16384,8,118.309
16384,8192,16384,16,98.677
16384,8192,16384,32,85.084
16384,16384,1024,1,104.796
16384,16384,1024,4,88.311
16384,16384,1024,8,63.205
16384,16384,1024,16,54.672
16384,16384,1024,32,52.008
16384,16384,8192,1,103.000
16384,16384,8192,4,136.391
16384,16384,8192,8,113.301
16384,16384,8192,16,99.800
16384,16384,8192,32,83.466
16384,16384,16384,1,103.533
16384,16384,16384,4,140.328
16384,16384,16384,8,128.706
16384,16384,16384,16,111.934
16384,16384,16384,32,90.489
